problemSize,nProcessors,BCRSolveTime,spluSolveTime,Error,Parallel time,Sequential time
68,1,0.00560307502746582,0.0,6.025341735913475e-15,0,0.00560307502746582
68,2,1.0292041301727295,0.0,6.0513680107447446e-15,1.0136816501617432,0.014523983001708984
68,4,1.0484542846679688,0.0,7.234482851381405e-15,1.0294485092163086,0.017999649047851562
68,8,1.4722299575805664,0.0,8.441176201734287e-15,1.4362409114837646,0.0349888801574707
132,1,0.008000850677490234,0.0,2.3216275946960226e-14,0,0.008000850677490234
132,2,1.0384502410888672,0.0,2.3230559855440443e-14,1.024442195892334,0.014008045196533203
132,4,1.0726532936096191,0.0,2.41630772613981e-14,1.0534687042236328,0.018172502517700195
132,8,1.4788448810577393,0.0,2.5380215136549596e-14,1.4423205852508545,0.036524295806884766
516,1,0.021995067596435547,0.0,1.588665648637204e-13,0,0.021995067596435547
516,2,1.0507731437683105,0.0,1.5883047561930222e-13,1.0362415313720703,0.013519525527954102
516,4,1.1048271656036377,0.0,1.602603299629811e-13,1.0833251476287842,0.021502017974853516
516,8,1.4409816265106201,0.0010116100311279297,1.6600240959895476e-13,1.4069833755493164,0.03399825096130371
1028,1,0.03500509262084961,0.0015034675598144531,4.410149621587082e-13,0,0.03500509262084961
1028,2,1.0512197017669678,0.0,4.398240157232266e-13,1.0361638069152832,0.014057159423828125
1028,4,1.1631784439086914,0.0010218620300292969,4.4624901386225366e-13,1.1407465934753418,0.021431446075439453
1028,8,1.8106105327606201,0.0,4.3578595694054974e-13,1.7736141681671143,0.03599357604980469
2052,1,0.08121371269226074,0.0019986629486083984,1.2126454275752147e-12,0,0.08121371269226074
2052,2,1.1981115341186523,0.0010569095611572266,1.2093318559129727e-12,1.1840944290161133,0.014017105102539062
2052,4,1.291252851486206,0.0010004043579101562,1.2171687577450105e-12,1.2702536582946777,0.02099919319152832
2052,8,1.769749402999878,0.0010042190551757812,1.2241739984969505e-12,1.7287654876708984,0.03998303413391113
4100,1,0.14351463317871094,0.0019969940185546875,3.3577018396059493e-12,0,0.14351463317871094
4100,2,1.153785228729248,0.00299835205078125,3.3552183962203826e-12,1.1387789249420166,0.015006303787231445
4100,4,1.273155927658081,0.0030002593994140625,3.368147469514294e-12,1.252150297164917,0.021005630493164062
4100,8,1.6059558391571045,0.002000570297241211,3.3683223918404555e-12,1.567436933517456,0.037519216537475586
8196,1,0.2445673942565918,0.004999876022338867,9.370799451717671e-12,0,0.2445673942565918
8196,2,1.1789419651031494,0.004998922348022461,9.368495408162329e-12,1.16385817527771,0.015083789825439453
8196,4,1.233158826828003,0.003995418548583984,9.382673957536255e-12,1.2141642570495605,0.01799321174621582
8196,8,1.7506427764892578,0.004000186920166016,9.397174659532935e-12,1.7116477489471436,0.03799271583557129
16388,1,0.4911067485809326,0.01000070571899414,2.6233752595328705e-11,0,0.49010276794433594
16388,2,1.3373892307281494,0.007999658584594727,2.6244497453925397e-11,1.3210160732269287,0.015364646911621094
16388,4,1.2018358707427979,0.008521318435668945,2.6257683726490316e-11,1.180497169494629,0.020332813262939453
16388,8,1.6792778968811035,0.008999824523925781,2.627662183094492e-11,1.6463282108306885,0.03194856643676758
32772,1,0.9455239772796631,0.018512487411499023,7.406334768419808e-11,0,0.9455239772796631
32772,2,1.50056791305542,0.016999244689941406,7.406333242997753e-11,1.485567569732666,0.01399993896484375
32772,4,1.339432716369629,0.017981529235839844,7.409710583125091e-11,1.3194377422332764,0.01799488067626953
32772,8,1.7413806915283203,0.016999483108520508,7.409572400477832e-11,1.7063636779785156,0.0340113639831543
65540,1,1.8087799549102783,0.036003828048706055,2.085823868022522e-10,0,1.8077902793884277
65540,2,1.982337236404419,0.036513566970825195,2.0856288059296986e-10,1.963716983795166,0.016620159149169922
65540,4,2.805919885635376,0.03402519226074219,2.086162800733461e-10,2.7809371948242188,0.022982358932495117
65540,8,2.905923366546631,0.03503870964050293,2.0866330419866102e-10,2.866405725479126,0.03698921203613281
131076,1,3.6378443241119385,0.07907319068908691,5.870020127755675e-10,0,3.635863780975342
131076,2,2.9467129707336426,0.06598925590515137,5.869870205511633e-10,2.9276928901672363,0.01701045036315918
131076,4,2.149181604385376,0.07061624526977539,5.870754322704769e-10,2.1261818408966064,0.021002531051635742
131076,8,2.332777500152588,0.06856250762939453,5.871025364796932e-10,2.2907824516296387,0.03899812698364258
262148,1,7.197028636932373,0.1394193172454834,1.652440166075851e-09,0,7.194018840789795
262148,2,4.878183603286743,0.13653349876403809,1.652460511572747e-09,4.857210397720337,0.01799631118774414
262148,4,3.217437267303467,0.13419008255004883,1.6524659673596788e-09,3.1908485889434814,0.023579835891723633
262148,8,3.0557990074157715,0.13514256477355957,1.6525980975216402e-09,3.015801191329956,0.03599858283996582
524292,1,14.813428401947021,0.30248308181762695,4.622457793575669e-09,0,14.806426286697388
524292,2,9.103861808776855,0.3195967674255371,4.6225076131836034e-09,9.083873271942139,0.016000747680664062
524292,4,5.666895389556885,0.2766263484954834,4.622476327615322e-09,5.637578010559082,0.024335622787475586
524292,8,5.1483542919158936,0.27533793449401855,4.622433768150889e-09,5.098304271697998,0.04405021667480469
1048580,1,28.506101369857788,0.5714080333709717,1.2792207566457702e-08,0,28.49508786201477
1048580,2,16.892698287963867,0.5562443733215332,1.2792133978734928e-08,16.861844539642334,0.022877216339111328
1048580,4,11.000686645507812,0.561269998550415,1.279226180060519e-08,10.964632749557495,0.028054475784301758
1048580,8,9.284051656723022,0.5520751476287842,1.27922952881445e-08,9.2242591381073,0.04981637001037598
