problemSize,nProcessors,BCRSolveTime,spluSolveTime,Error,Parallel time,Sequential time
68,1,0.0074634552001953125,0.0003211498260498047,6.025341735913475e-15,0,0.007399320602416992
68,2,0.03257894515991211,0.0001323223114013672,6.0513680107447446e-15,0.024774789810180664,0.007394552230834961
68,4,0.032217979431152344,0.00019288063049316406,7.234482851381405e-15,0.024505615234375,0.007280826568603516
68,8,0.04750490188598633,0.0004189014434814453,8.441176201734287e-15,0.037439584732055664,0.009776830673217773
68,16,0.055084943771362305,0.0001850128173828125,0.0,0.03859686851501465,0.01613593101501465
132,1,0.01058816909790039,0.00022912025451660156,2.3216275946960226e-14,0,0.010536909103393555
132,2,0.027904033660888672,0.0001773834228515625,2.3230559855440443e-14,0.020966053009033203,0.0065076351165771484
132,4,0.038242340087890625,0.00021505355834960938,2.41630772613981e-14,0.029720067977905273,0.008089065551757812
132,8,0.056272268295288086,0.0004780292510986328,2.5380215136549596e-14,0.0446467399597168,0.011135101318359375
132,16,0.0673375129699707,0.00045418739318847656,2.908741557233676e-14,0.05173683166503906,0.015183210372924805
516,1,0.02578878402709961,0.0005648136138916016,1.588665648637204e-13,0,0.025728225708007812
516,2,0.04726386070251465,0.0004868507385253906,1.5883047561930222e-13,0.040781259536743164,0.0061528682708740234
516,4,0.05120515823364258,0.000743865966796875,1.602603299629811e-13,0.04348921775817871,0.007269382476806641
516,8,0.061310529708862305,0.0007753372192382812,1.6600240959895476e-13,0.05047178268432617,0.010256052017211914
516,16,0.09183406829833984,0.001634359359741211,1.5908052025147452e-13,0.07339310646057129,0.017870187759399414
1028,1,0.04502463340759277,0.0009417533874511719,4.410149621587082e-13,0,0.04495716094970703
1028,2,0.05908966064453125,0.0009024143218994141,4.398240157232266e-13,0.053234100341796875,0.005415439605712891
1028,4,0.06520628929138184,0.000827789306640625,4.4624901386225366e-13,0.05666399002075195,0.008068561553955078
1028,8,0.08160853385925293,0.0020020008087158203,4.3578595694054974e-13,0.0700533390045166,0.011029243469238281
1028,16,0.09653186798095703,0.001346588134765625,4.581983841561253e-13,0.0792536735534668,0.016214609146118164
2052,1,0.09697127342224121,0.0037775039672851562,1.2126454275752147e-12,0,0.09684276580810547
2052,2,0.08288264274597168,0.00164794921875,1.2093318559129727e-12,0.07624197006225586,0.006211757659912109
2052,4,0.08940291404724121,0.0037589073181152344,1.2171687577450105e-12,0.0822305679321289,0.0065648555755615234
2052,8,0.09994101524353027,0.0038018226623535156,1.2241739984969505e-12,0.08638834953308105,0.012795448303222656
2052,16,0.11418747901916504,0.0034737586975097656,1.194508093483045e-12,0.0975186824798584,0.015905380249023438
4100,1,0.15859675407409668,0.004000663757324219,3.3577018396059493e-12,0,0.15844035148620605
4100,2,0.12788915634155273,0.0028867721557617188,3.3552183962203826e-12,0.12051725387573242,0.006951332092285156
4100,4,0.11044573783874512,0.006928443908691406,3.368147469514294e-12,0.10251235961914062,0.007387876510620117
4100,8,0.11891412734985352,0.007170677185058594,3.3683223918404555e-12,0.10865926742553711,0.00941324234008789
4100,16,0.14234447479248047,0.007134675979614258,3.390243259289896e-12,0.12385082244873047,0.01751399040222168
8196,1,0.30603456497192383,0.010706901550292969,9.370799451717671e-12,0,0.3059117794036865
8196,2,0.19481468200683594,0.005470752716064453,9.368495408162329e-12,0.18714022636413574,0.0072023868560791016
8196,4,0.15634536743164062,0.008412599563598633,9.382673957536255e-12,0.14887309074401855,0.007038116455078125
